Date,Value
2019-01-02,694.77
2019-01-03,697.09
2019-01-04,697.64
2019-01-07,688.42
2019-01-08,679.69
2019-01-09,680.1
2019-01-10,678.09
2019-01-11,677.58
2019-01-14,675.15
2019-01-15,674.95
2019-01-16,673.76
2019-01-17,672.73
2019-01-18,671.37
2019-01-21,670.1
2019-01-22,672.42
2019-01-23,672.26
2019-01-24,672.41
2019-01-25,672.14
2019-01-28,667.04
2019-01-29,671.29
2019-01-30,669.6
2019-01-31,666.76
2019-02-01,657.81
2019-02-04,655.39
2019-02-05,653.8
2019-02-06,652.78
2019-02-07,653.9
2019-02-08,654.44
2019-02-11,656.46
2019-02-12,660.82
2019-02-13,660.49
2019-02-14,661.6
2019-02-15,665.9
2019-02-18,663.98
2019-02-19,660.82
2019-02-20,658.75
2019-02-21,654.52
2019-02-22,654.33
2019-02-25,651.36
2019-02-26,649.22
2019-02-27,649.8
2019-02-28,649.92
2019-03-01,651.79
2019-03-04,656.57
2019-03-05,659.07
2019-03-06,657.49
2019-03-07,658.4
2019-03-08,662.19
2019-03-11,670.83
2019-03-12,669.37
2019-03-13,667.09
2019-03-14,665.68
2019-03-15,670.62
2019-03-18,669.39
2019-03-19,667.21
2019-03-20,664.78
2019-03-21,666.13
2019-03-22,665.12
2019-03-25,676.6
2019-03-26,679.08
2019-03-27,679.02
2019-03-28,683.73
2019-03-29,681.09
2019-04-01,678.53
2019-04-02,672.56
2019-04-03,670.05
2019-04-04,667.55
2019-04-05,666.32
2019-04-08,664.17
2019-04-09,663.01
2019-04-10,663.15
2019-04-11,662.92
2019-04-12,664.19
2019-04-15,660.67
2019-04-16,662.86
2019-04-17,663.98
2019-04-18,660.48
2019-04-22,662.27
2019-04-23,663.91
2019-04-24,668.19
2019-04-25,672.83
2019-04-26,676.21
2019-04-29,673.86
2019-04-30,677.67
2019-05-02,678.71
2019-05-03,683.31
2019-05-06,678.68
2019-05-07,681.09
2019-05-08,683.49
2019-05-09,684.51
2019-05-10,686.43
2019-05-13,685.67
2019-05-14,693.04
2019-05-15,692.33
2019-05-16,692.62
2019-05-17,692.79
2019-05-20,696.61
2019-05-22,697.23
2019-05-23,696.7
2019-05-24,698.03
2019-05-27,694.84
2019-05-28,696.46
2019-05-29,703.48
2019-05-30,708.2
2019-05-31,707.86
2019-06-03,709.8
2019-06-04,704.59
2019-06-05,696.78
2019-06-06,693.25
2019-06-07,692.21
2019-06-10,692.28
2019-06-11,697.34
2019-06-12,693.6
2019-06-13,694.89
2019-06-14,696.25
2019-06-17,698.72
2019-06-18,699.52
2019-06-19,696.81
2019-06-20,693.99
2019-06-21,684.19
2019-06-24,683.41
2019-06-25,682.31
2019-06-26,678.32
2019-06-27,680.06
2019-06-28,679.86
2019-07-01,679.15
2019-07-02,677.62
2019-07-03,681.3
2019-07-04,680.48
2019-07-05,677.64
2019-07-08,683.12
2019-07-09,685.83
2019-07-10,688.88
2019-07-11,685.4
2019-07-12,683.38
2019-07-15,681.07
2019-07-17,679.48
2019-07-18,681.69
2019-07-19,683.27
2019-07-22,685.81
2019-07-23,688.28
2019-07-24,691.57
2019-07-25,691.36
2019-07-26,694.16
2019-07-29,696.62
2019-07-30,697.22
2019-07-31,699.98
2019-08-01,700.82
2019-08-02,704.88
